UWI,Well Type (Simple),Field,Pool,Formation,Status (Detailed),Status (Simple),Total Depth (TD),Total Vertical Depth (TVD),Surface Longitude,Surface Latitude,Estimated LLR (Well),2013-01 Prod - Oil,2013-02 Prod - Oil,2013-03 Prod - Oil,2013-04 Prod - Oil,2013-05 Prod - Oil,2013-06 Prod - Oil,2013-07 Prod - Oil,2013-08 Prod - Oil,2013-09 Prod - Oil,2013-10 Prod - Oil,2013-11 Prod - Oil,2013-12 Prod - Oil,2014-01 Prod - Oil,2014-02 Prod - Oil,2014-03 Prod - Oil,2014-04 Prod - Oil,2014-05 Prod - Oil,2014-06 Prod - Oil,2014-07 Prod - Oil,2014-08 Prod - Oil,2014-09 Prod - Oil,2014-10 Prod - Oil,2014-11 Prod - Oil,2014-12 Prod - Oil,2015-01 Prod - Oil,2015-02 Prod - Oil,2015-03 Prod - Oil,2015-04 Prod - Oil,2015-05 Prod - Oil,2015-06 Prod - Oil,2015-07 Prod - Oil,2015-08 Prod - Oil,2015-09 Prod - Oil,2015-10 Prod - Oil,2015-11 Prod - Oil,2015-12 Prod - Oil,2016-01 Prod - Oil,2016-02 Prod - Oil,2016-03 Prod - Oil,2016-04 Prod - Oil,2016-05 Prod - Oil,2016-06 Prod - Oil,2016-07 Prod - Oil,2016-08 Prod - Oil,2016-09 Prod - Oil,2016-10 Prod - Oil,2016-11 Prod - Oil,2016-12 Prod - Oil,2017-01 Prod - Oil,2017-02 Prod - Oil,2017-03 Prod - Oil,2017-04 Prod - Oil,2017-05 Prod - Oil,2017-06 Prod - Oil,2017-07 Prod - Oil,2017-08 Prod - Oil,2017-09 Prod - Oil,2017-10 Prod - Oil,2017-11 Prod - Oil,2017-12 Prod - Oil,2013-01 Prod - Gas,2013-02 Prod - Gas,2013-03 Prod - Gas,2013-04 Prod - Gas,2013-05 Prod - Gas,2013-06 Prod - Gas,2013-07 Prod - Gas,2013-08 Prod - Gas,2013-09 Prod - Gas,2013-10 Prod - Gas,2013-11 Prod - Gas,2013-12 Prod - Gas,2014-01 Prod - Gas,2014-02 Prod - Gas,2014-03 Prod - Gas,2014-04 Prod - Gas,2014-05 Prod - Gas,2014-06 Prod - Gas,2014-07 Prod - Gas,2014-08 Prod - Gas,2014-09 Prod - Gas,2014-10 Prod - Gas,2014-11 Prod - Gas,2014-12 Prod - Gas,2015-01 Prod - Gas,2015-02 Prod - Gas,2015-03 Prod - Gas,2015-04 Prod - Gas,2015-05 Prod - Gas,2015-06 Prod - Gas,2015-07 Prod - Gas,2015-08 Prod - Gas,2015-09 Prod - Gas,2015-10 Prod - Gas,2015-11 Prod - Gas,2015-12 Prod - Gas,2016-01 Prod - Gas,2016-02 Prod - Gas,2016-03 Prod - Gas,2016-04 Prod - Gas,2016-05 Prod - Gas,2016-06 Prod - Gas,2016-07 Prod - Gas,2016-08 Prod - Gas,2016-09 Prod - Gas,2016-10 Prod - Gas,2016-11 Prod - Gas,2016-12 Prod - Gas,2017-01 Prod - Gas,2017-02 Prod - Gas,2017-03 Prod - Gas,2017-04 Prod - Gas,2017-05 Prod - Gas,2017-06 Prod - Gas,2017-07 Prod - Gas,2017-08 Prod - Gas,2017-09 Prod - Gas,2017-10 Prod - Gas,2017-11 Prod - Gas,2017-12 Prod - Gas,2013-01 Prod - Condensate,2013-02 Prod - Condensate,2013-03 Prod - Condensate,2013-04 Prod - Condensate,2013-05 Prod - Condensate,2013-06 Prod - Condensate,2013-07 Prod - Condensate,2013-08 Prod - Condensate,2013-09 Prod - Condensate,2013-10 Prod - Condensate,2013-11 Prod - Condensate,2013-12 Prod - Condensate,2014-01 Prod - Condensate,2014-02 Prod - Condensate,2014-03 Prod - Condensate,2014-04 Prod - Condensate,2014-05 Prod - Condensate,2014-06 Prod - Condensate,2014-07 Prod - Condensate,2014-08 Prod - Condensate,2014-09 Prod - Condensate,2014-10 Prod - Condensate,2014-11 Prod - Condensate,2014-12 Prod - Condensate,2015-01 Prod - Condensate,2015-02 Prod - Condensate,2015-03 Prod - Condensate,2015-04 Prod - Condensate,2015-05 Prod - Condensate,2015-06 Prod - Condensate,2015-07 Prod - Condensate,2015-08 Prod - Condensate,2015-09 Prod - Condensate,2015-10 Prod - Condensate,2015-11 Prod - Condensate,2015-12 Prod - Condensate,2016-01 Prod - Condensate,2016-02 Prod - Condensate,2016-03 Prod - Condensate,2016-04 Prod - Condensate,2016-05 Prod - Condensate,2016-06 Prod - Condensate,2016-07 Prod - Condensate,2016-08 Prod - Condensate,2016-09 Prod - Condensate,2016-10 Prod - Condensate,2016-11 Prod - Condensate,2016-12 Prod - Condensate,2017-01 Prod - Condensate,2017-02 Prod - Condensate,2017-03 Prod - Condensate,2017-04 Prod - Condensate,2017-05 Prod - Condensate,2017-06 Prod - Condensate,2017-07 Prod - Condensate,2017-08 Prod - Condensate,2017-09 Prod - Condensate,2017-10 Prod - Condensate,2017-11 Prod - Condensate,2017-12 Prod - Condensate,2013-01 Prod - BOE Prod,2013-02 Prod - BOE Prod,2013-03 Prod - BOE Prod,2013-04 Prod - BOE Prod,2013-05 Prod - BOE Prod,2013-06 Prod - BOE Prod,2013-07 Prod - BOE Prod,2013-08 Prod - BOE Prod,2013-09 Prod - BOE Prod,2013-10 Prod - BOE Prod,2013-11 Prod - BOE Prod,2013-12 Prod - BOE Prod,2014-01 Prod - BOE Prod,2014-02 Prod - BOE Prod,2014-03 Prod - BOE Prod,2014-04 Prod - BOE Prod,2014-05 Prod - BOE Prod,2014-06 Prod - BOE Prod,2014-07 Prod - BOE Prod,2014-08 Prod - BOE Prod,2014-09 Prod - BOE Prod,2014-10 Prod - BOE Prod,2014-11 Prod - BOE Prod,2014-12 Prod - BOE Prod,2015-01 Prod - BOE Prod,2015-02 Prod - BOE Prod,2015-03 Prod - BOE Prod,2015-04 Prod - BOE Prod,2015-05 Prod - BOE Prod,2015-06 Prod - BOE Prod,2015-07 Prod - BOE Prod,2015-08 Prod - BOE Prod,2015-09 Prod - BOE Prod,2015-10 Prod - BOE Prod,2015-11 Prod - BOE Prod,2015-12 Prod - BOE Prod,2016-01 Prod - BOE Prod,2016-02 Prod - BOE Prod,2016-03 Prod - BOE Prod,2016-04 Prod - BOE Prod,2016-05 Prod - BOE Prod,2016-06 Prod - BOE Prod,2016-07 Prod - BOE Prod,2016-08 Prod - BOE Prod,2016-09 Prod - BOE Prod,2016-10 Prod - BOE Prod,2016-11 Prod - BOE Prod,2016-12 Prod - BOE Prod,2017-01 Prod - BOE Prod,2017-02 Prod - BOE Prod,2017-03 Prod - BOE Prod,2017-04 Prod - BOE Prod,2017-05 Prod - BOE Prod,2017-06 Prod - BOE Prod,2017-07 Prod - BOE Prod,2017-08 Prod - BOE Prod,2017-09 Prod - BOE Prod,2017-10 Prod - BOE Prod,2017-11 Prod - BOE Prod,2017-12 Prod - BOE Prod
100043507725W400,Bitumen,Marten Hills,Wabiskaw-Mcmurray,McMurray,Suspended,Suspended,719,578.36,-113.777142,55.712785,0,2.394181935,30.14611286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.394181935,30.14611286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
102043507725W400,Bitumen,Marten Hills,Wabiskaw-Mcmurray,McMurray,Suspended,Suspended,755,581.39,-113.777222,55.712381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
103043507725W400,Bitumen,Marten Hills,Wabiskaw-Mcmurray,McMurray,Suspended,Suspended,659,581.19,-113.777222,55.712516,0,21.58821677,25.87803429,20.59402258,18.97423,24.3476129,23.712546,17.95636452,18.66650323,18.219454,19.51866968,24.027036,21.10126452,20.99981613,23.76645857,32.90985677,31.86832,39.84892645,25.222098,23.79979161,32.02,32.22,7.87,0.04,0,0,0,6.66,26.77,12.09,8.24,14.61,20.13,2.94,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0.021416717,0.00794583,0.007404716,0.003178332,0.002392293,0.00235432,0.007860391,0.01503727,0.013066476,0.011050115,0.012124748,0.011164034,0.037251418,0.059278414,0.090565374,0.073219352,0.096033472,0.084049224,0.094894285,0.128,0.1345,0.051,0.0002,0,0,0,0.066,0.1348,0.0922,0.0824,0.1033,0.0907,0.0421,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.15766968,27.20233929,21.82814194,19.503952,24.74632839,24.10493267,19.26642968,21.17271484,20.3972,21.36035548,26.04782733,22.96193677,27.20838581,33.64619429,48.00408581,44.07154533,55.85450516,39.230302,39.61550581,53.36,54.65,16.38,0.08,0,0,0,17.65,49.24,27.45,21.97,31.83,35.24,9.96,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100053507725W400,Bitumen,Marten Hills,Wabiskaw-Mcmurray,McMurray,Flowing,Active,580,580,-113.777222,55.712246,8.88,0,1.392741429,28.95336968,28.597624,34.83737613,41.135292,40.4373271,6.086903226,14.99069,34.63447935,35.998622,37.67793097,36.25765355,25.45122643,26.33600129,26.165568,34.33013419,30.631326,24.46935097,25.2,23.9,24.04,25.03,21.69,25.99,24.69,18.67,27.34,13.82,1.76,0,4.4,0.29,0.22,0.21,0.18,0,0.46,15.36,15.1,11.91,10.76,19.09,11.99,13.12,14.3,16.29,16.98,1.01,7.75,10.71,7.86,19.4,10.8,12.13,9.78,29.9,38.16,41.05,33.5,0,0.001387367,0.036112231,0.016833388,0.012189302,0.01412592,0.03622615,0.010024846,0.022248324,0.040896817,0.0382577,0.041580329,0.012417139,0.012234056,0.014012001,0.011653884,0.015948619,0.0206003,0.019594018,0.0204,0.0201,0.0313,0.0378,0.0398,0.0519,0.0531,0.0371,0.0277,0.0212,0.0036,0,0.0032,0.0008,0.0002,0.0004,0.0009,0,0.0017,0.0612,0.0521,0.0442,0.0491,0.0551,0.0595,0.0378,0.0559,0.0685,0.1151,0.0155,0.0969,0.1051,0.0995,0.101,0.0996,0.0922,0.1195,0.0928,0.1284,0.1104,0.1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.623969286,34.97207484,31.40318867,36.86892645,43.489612,46.47501871,7.757710968,18.698744,41.45061548,42.37490533,44.60798581,38.32717677,27.49023571,28.67133484,28.107882,36.98823742,34.06470933,27.73502065,28.6,27.26,29.26,31.33,28.32,34.65,33.54,24.86,31.95,17.35,2.37,0,4.93,0.43,0.26,0.27,0.33,0,0.74,25.56,23.79,19.28,18.94,28.28,21.9,19.42,23.63,27.71,36.16,3.6,23.89,28.24,24.44,36.24,27.4,27.49,29.7,45.36,59.56,59.45,51.14
102053507725W400,Bitumen,Marten Hills,Wabiskaw-Mcmurray,McMurray,Suspended,Suspended,677,585.09,-113.777221,55.712651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,5.14,0.93,3.81,7.09,0,1.09,4.57,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0.0101,0.0014,0.0027,0.016,0,0.0022,0.0436,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,6.82,1.16,4.27,9.75,0,1.46,11.84,,,,,,,,,,,0,0,0,,,,,,,,,,,
103053507725W400,Bitumen,Marten Hills,Wabiskaw-Mcmurray,McMurray,Flowing,Active,650,578.48,-113.777301,55.711707,2.08,19.29548323,41.44528929,26.78237419,34.237478,37.57648258,41.575578,38.48951806,41.04601742,39.227386,41.0663071,59.606338,49.64884065,50.96766968,49.50971143,14.50711935,34.426172,44.43439355,34.572934,34.95911419,34.49,42.81,46.16,36.67,27.01,24.12,28.8,27.31,29.79,7.71,13.96,16.35,16.94,17.28,31.77,38.12,31.33,35.18,32.14,24.85,21.24,13.74,28.16,26.76,19.13,14.38,8.18,6.48,0,3.88,0,10.88,16.84,16.7,9.16,6.07,0.41,0,2.52,3.23,2.88,0.018910506,0.01236018,0.009341334,0.005650368,0.003759317,0.004002344,0.016176457,0.032125076,0.027427828,0.022897661,0.029546716,0.025859547,0.024036848,0.032918439,0.010708359,0.021071164,0.028593596,0.030723876,0.037023581,0.0368,0.0477,0.0797,0.0733,0.0513,0.0497,0.0642,0.0563,0.0313,0.0123,0.0291,0.0242,0.0126,0.0411,0.0532,0.0872,0.0693,0.1127,0.0641,0.0509,0.0379,0.0263,0.0665,0.04,0.0493,0.0138,0.0107,0.0091,0,0.005,0,0.0088,0.0174,0.0072,0.0069,0.0038,0.0003,0,0.0007,0.0007,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.44723419,43.50531929,28.33926323,35.179206,38.20303548,42.24263533,41.18559419,46.40019677,43.79869067,44.88258387,64.53079067,53.95876516,54.97381097,54.99611786,16.29184581,37.93803267,49.1999929,39.69358,41.12971097,40.63,50.76,59.45,48.89,35.55,32.4,39.5,36.69,35.01,9.76,18.81,20.38,19.05,24.12,40.64,52.65,42.87,53.96,42.82,33.34,27.56,18.12,39.24,33.43,27.35,16.68,9.96,7.99,0,4.71,0,12.34,19.74,17.89,10.32,6.69,0.46,0,2.63,3.35,3.13
102063507725W400,Bitumen,Marten Hills,Wabiskaw-Mcmurray,McMurray,Flowing,Active,701,586.11,-113.777222,55.712112,10.02,41.97934258,73.25370643,58.27195355,41.051428,33.61999548,39.017726,35.93301871,45.48945677,54.61643,58.51542968,23.79641,0,30.96204774,56.31617357,88.09777935,98.728894,75.25441355,62.814136,61.43714323,58.52,60.89,54.46,52.14,60.54,59.12,54.07,39.4,38.47,54.44,37.21,34.86,17.53,0,28.95,38.91,45.65,39.28,40.43,29.81,41.72,38.57,38.12,32.5,11.77,27,16.07,37.42,59.04,36.81,43.53,44.6,38.12,41.01,17.78,11.85,6.11,17.78,20.65,13.33,10.79,0.033606019,0.017909649,0.016859969,0.005650368,0.002734049,0.003060616,0.012417139,0.02916319,0.031312456,0.026543059,0.009770428,0,0.004101074,0.010468316,0.017999156,0.016833388,0.013442408,0.01294876,0.01503727,0.0144,0.0157,0.0216,0.0239,0.0336,0.0358,0.0356,0.024,0.0118,0.0255,0.0227,0.0152,0.0039,0,0.0141,0.0267,0.026,0.0324,0.0208,0.0156,0.0211,0.0208,0.0251,0.0137,0.0087,0.0113,0.0091,0.0232,0.0145,0.0205,0.0197,0.0157,0.0174,0.0072,0.0054,0.0031,0.0026,0.0019,0.0024,0.0012,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.58034581,76.23864786,61.08194839,41.993156,34.07567032,39.52782867,38.00254194,50.34998839,59.83517267,62.9392729,25.42481467,0,31.64556,58.06089286,91.09763871,101.5344587,77.49481484,64.97226267,63.94335484,60.91,63.49,58.06,56.13,66.15,65.09,60,43.41,40.43,58.69,41,37.38,18.18,0,31.31,43.37,49.98,44.67,43.9,32.41,45.23,42.05,42.3,34.78,13.21,28.89,17.59,41.29,61.45,40.22,46.81,47.22,41.02,42.2,18.68,12.36,6.54,18.09,21.05,13.53,11.15
100073507725W400,Bitumen,Marten Hills,Wabiskaw-Mcmurray,McMurray,Pumping,Active,603,572.83,-113.76867,55.713135,7.81,39.34168452,35.065635,31.81421419,33.5456,34.04607871,37.94846,35.6692529,33.64028516,33.818158,53.17924452,50.989312,42.50687419,47.31552774,57.23718,59.7531,58.767698,14.50711935,41.82717,57.15602129,56.87,69.52,60.83,50.78,57.16,48.57,62.29,58.19,62.6,59.12,51.14,68.5,94.33,101.79,81.18,87.49,78.89,89.25,53.77,54.13,5.89,52.57,72.9,51.72,57.54,56.99,45.92,41.7,9.9,34.19,18.67,15.46,15.07,24.57,32.1,26.44,7.65,4.82,,,,0.005240261,0.00441435,0.004101074,0.018716844,0.019366181,0.020482584,0.01412592,0.013328489,0.013301908,0.020049693,0.023072336,0.018796587,0.017543481,0.022450123,0.024834279,0.024838076,0.000797431,0.00941728,0.011050115,0.0113,0.0215,0.0255,0.0213,0.0169,0.0171,0.0323,0.0297,0.0303,0.0384,0.0499,0.0654,0.0572,0.0378,0.0383,0.0558,0.0614,0.0638,0.0443,0.0369,0.0041,0.0434,0.0695,0.0608,0.0581,0.0565,0.0488,0.0387,0.0785,0.0878,0.0868,0.0942,0.1127,0.136,0.1531,0.1255,0.0603,0.0184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.21506129,35.80136,32.49772645,36.665074,37.27377548,41.362224,38.0235729,35.8617,36.03514267,56.52086,54.83470133,45.63963871,50.23944129,60.97886714,63.89214645,62.90737733,14.64002452,43.39671667,58.9977071,58.75,73.11,65.08,54.33,59.97,51.42,67.67,63.15,67.65,65.52,59.45,79.4,103.86,108.09,87.56,96.79,89.12,99.89,61.15,60.28,6.58,59.8,84.47,61.86,67.22,66.4,54.04,48.16,22.98,48.83,33.13,31.16,33.85,47.24,57.62,47.36,17.69,7.88,,,
100083507725W400,Bitumen,Marten Hills,Wabiskaw-Mcmurray,McMurray,Pumping,Active,617,578.33,-113.767396,55.713672,5.5,31.02291677,29.719305,45.00250452,40.128924,73.99645355,41.994898,32.97072581,36.64315742,50.192604,66.0429,48.2218,20.45199484,53.19953419,53.620545,67.34143935,54.847056,19.17374516,43.148028,55.39081935,47.03,53.44,41.63,44.72,39,40.86,42.19,41.07,45.81,33.74,27.26,24.69,28.2,44.22,45.41,19.41,25.46,26.13,27.46,38.79,31.89,24.75,24.84,27.59,25.22,26.14,24.83,28.91,9.13,38.88,25.7,7.39,,0,0,2.48,9.72,27.28,37.66,28.74,25.65,0.004101074,0.003783729,0.005695935,0.021424312,0.040213305,0.021659744,0.017315644,0.019138343,0.026132952,0.032922507,0.028722704,0.011961465,0.011619708,0.012486304,0.016518213,0.013655056,0.000569594,0.017186536,0.019252262,0.0164,0.0292,0.0311,0.0331,0.0208,0.026,0.0392,0.0377,0.0403,0.0395,0.048,0.0419,0.031,0.0298,0.0387,0.0222,0.0448,0.0423,0.0513,0.0597,0.0519,0.0461,0.0534,0.0734,0.0576,0.0585,0.0595,0.0605,0.0108,0.015,0.018,0.0067,,0,0,0.0018,0.0108,0.0146,0.0166,0.0284,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.70642903,30.34992643,45.9518271,43.69964267,80.69867097,45.60485533,35.85666645,39.83288129,54.548096,71.52998452,53.00891733,22.44557226,55.13615226,55.70159571,70.09447484,57.12289867,19.26867742,46.01245067,58.59952968,49.77,58.31,46.82,50.23,42.47,45.19,48.72,47.35,52.52,40.33,35.26,31.68,33.37,49.18,51.86,23.12,32.93,33.18,36,48.74,40.54,32.44,33.75,39.82,34.83,35.9,34.75,39,10.93,41.38,28.7,8.51,,0,0,2.78,11.52,29.71,40.43,33.47,28.48
102083507725W400,Bitumen,Marten Hills,Wabiskaw-Mcmurray,McMurray,Pumping,Active,769,571.71,-113.767396,55.713537,7.44,42.24310839,40.43442857,32.54464258,31.931218,34.22868581,33.943954,40.13298194,35.38519742,35.600268,39.70689871,28.220236,31.53015871,49.04015032,44.63511643,51.23143548,52.771422,18.99113806,33.797192,46.34162323,46.69,46.98,39.36,44.7,37.72,35.36,30.46,30.35,33.92,10.41,18.74,23.29,28.87,44.3,44.98,44.57,29.16,34.82,58.58,95.58,36.23,40.82,36.92,1.48,35.2,34.24,38.33,44.11,14.55,60.73,46.66,29.72,29.65,9.31,20.84,18.32,0,0.17,9.62,10.97,28.85,0.005582017,0.005044971,0.004101074,0.005061788,0.005468098,0.005179504,0.00615161,0.005468098,0.005414936,0.005809854,0.004944072,0.005468098,0.004898505,0.004792723,0.005695935,0.006003516,0.000227837,0.006121232,0.007290797,0.0075,0.0118,0.0134,0.0152,0.0128,0.0142,0.0178,0.0177,0.0187,0.0077,0.0211,0.0251,0.0198,0.0187,0.0243,0.0325,0.0115,0.0128,0.0247,0.0333,0.0134,0.0174,0.018,0.0008,0.0182,0.0172,0.0207,0.0211,0.0187,0.0253,0.0349,0.0294,0.0359,0.0083,0.0161,0.014,0,0.0001,0.0046,0.0117,0.0206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.17344452,41.27525714,33.22815484,32.77484933,35.14003548,34.80720467,41.15825032,36.2965471,36.50275733,40.67520774,29.044248,32.44150839,49.85656774,45.43390357,52.18075806,53.772008,19.02911097,34.81739733,47.55675613,47.94,48.95,41.6,47.23,39.84,37.74,33.42,33.3,37.04,11.7,22.26,27.47,32.18,47.42,49.03,49.99,31.07,36.94,62.7,101.13,38.47,43.73,39.92,1.61,38.24,37.1,41.78,47.62,17.66,64.94,52.48,34.62,35.63,10.7,23.53,20.66,0,0.19,10.38,12.91,32.29
100093507725W400,Bitumen,Marten Hills,Wabiskaw-Mcmurray,McMurray,Flowing,Active,576,559.59,-113.766272,55.719371,12.07,13.0259729,28.86568929,6.573855484,7.65259,13.55350452,18.512978,19.66069742,24.44906129,33.776226,29.54177032,30.19104,31.42871032,32.15913871,27.15845786,28.28381032,26.039772,11.30135032,0,0,0,0,0,8.11,12.13,11.26,10.56,9.52,10.42,10.21,14.11,14.71,16.86,17.53,16.41,20.92,22.1,19.62,16.33,,,0,0,2.17,12.03,5.95,18.69,23.86,43.36,69.35,44.01,49.71,52.6,29.48,25.54,39.1,21.91,12.16,14.26,12.52,9.39,0.00353148,0.007693581,0.001708781,0.002001172,0.00353148,0.005061788,0.005126342,0.006379448,0.009299564,0.00797431,0.008357836,0.008429985,0.046592752,0.041873263,0.043972622,0.044025784,0.00968309,0,0,0,0,0,0.0112,0.0066,0.0049,0.004,0.004,0.0029,0.0031,0.0047,0.0049,0.0072,0.0084,0.0091,0.0111,0.0703,0.0601,0.0519,,,0,0,0.0069,0.0409,0.0334,0.0451,0.0832,0.0222,0.0297,0.0221,0.0219,0.0234,0.0163,0.0148,0.0426,0.0077,0.0029,0.0028,0.0029,0.0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6145529,30.14795286,6.858652258,7.986118667,14.14208452,19.35660933,20.51508774,25.51230258,35.32615333,30.87082194,31.58401267,32.83370774,39.92459742,34.137335,35.61258065,33.37740267,12.91519871,0,0,0,0,0,9.98,13.23,12.08,11.23,10.18,10.91,10.72,14.89,15.53,18.06,18.92,17.93,22.77,33.81,29.64,24.98,,,0,0,3.33,18.85,11.53,26.21,37.73,47.06,74.31,47.68,53.36,56.51,32.2,28.01,46.2,23.2,12.65,14.74,13.01,10.1
102093507725W400,Bitumen,Marten Hills,Wabiskaw-Mcmurray,McMurray,Flowing,Active,770,556.32,-113.766178,55.719247,7.94,15.03465097,20.23967786,4.281121935,4.465758,7.304283871,7.400998,8.947747742,8.359347097,9.099244,9.637596774,11.824824,12.94481419,12.37670323,21.31792929,35.60838387,31.952184,11.42308839,0,0,0,0,0,0,3.53,3.92,7.03,9.27,8.68,9.03,3,1.18,1.24,1.38,1.26,2.75,2.64,0.47,4.66,2.86,0.27,0.67,2.79,14.57,13.49,35.94,32.71,21.72,9.58,0,13.43,36.56,29.96,33.11,25.18,22.03,2.29,16.23,41.39,39.37,38.59,0.047618021,0.062431521,0.013100652,0.01353734,0.02210023,0.023307768,0.026998734,0.025176035,0.028722704,0.029960621,0.038022268,0.039871548,0.008657822,0.015765536,0.026543059,0.02589752,0.004670667,0,0,0,0,0,0,0.0032,0.0027,0.0043,0.0064,0.0001,0.0001,0.0001,,,,,,,,,,,0,0,0.0006,0.0007,0.0026,0.0009,0.0009,0.0071,0,0.0096,0.0229,0.0191,0.026,0.021,0.0341,0.0011,0.0055,0.0118,0.0133,0.0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.97098774,30.64493143,6.464563871,6.721981333,10.98765548,11.285626,13.44753677,12.5553529,13.88636133,14.63103355,18.16186867,19.59007226,13.81967355,23.94551857,40.0322271,36.26843733,12.2015329,0,0,0,0,0,0,4.06,4.37,7.75,10.34,8.7,9.05,3.02,1.18,1.24,1.38,1.26,2.75,2.64,0.47,4.66,2.86,0.27,0.67,2.79,14.66,13.61,36.37,32.86,21.88,10.75,0,15.03,40.38,33.14,37.44,28.67,27.71,2.48,17.15,43.37,41.59,42.73
