UWI,Well Type (Simple),Field,Pool,Formation,Status (Detailed),Status (Simple),Total Depth (TD),Total Vertical Depth (TVD),Surface Longitude,Surface Latitude,Estimated LLR (Well)
100061407625W403,Gas,Marten Hills,Commingled Pool 034,Unspecified,Flowing,Active,796.4,796.4,-113.773989,55.582732,0.14
100071407625W400,Gas,Marten Hills,Clearwater PPP,Wabiskaw,Flowing,Active,791.1,791.1,-113.768265,55.582552,0.91
100101707625W402,Gas,Marten Hills,Grand Rapids B,Unspecified,Flowing,Active,697.7,697.7,-113.845723,55.58633,1.78
100111707625W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw-McMurray,Flowing,Active,694,694,-113.850423,55.585908,0.11
100111707625W402,Gas,Marten Hills,Commingled Pool 029,Wabiskaw-McMurray,Flowing,Active,694,694,-113.850423,55.585908,0.4
100101807625W400,Disposal - Water,Marten Hills,Grosmont Undefined,Unspecified,Not Applicable,Active,1143,1143,-113.870506,55.587059,0
102101807625W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw-McMurray,Suspended,Suspended,700,700,-113.869644,55.586109,0
102101807625W402,Gas,Marten Hills,Commingled Pool 029,Wabiskaw-McMurray,Pumping,Active,700,700,-113.869644,55.586109,4.16
100061907625W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Flowing,Active,736.4,736.4,-113.877973,55.59717,1.79
100111907625W402,Gas,Marten Hills,Commingled Pool 022,Grand Rapids,Flowing,Active,855,547.09,-113.877852,55.596867,10.55
100122007625W402,Gas,Marten Hills,Commingled Pool 027,McMurray,Suspended,Suspended,739,739,-113.859388,55.599394,0
100112107625W400,Gas,Marten Hills,McMurray F,Wabiskaw,Suspended,Suspended,685,685,-113.827381,55.599797,0
100112107625W402,Gas,Marten Hills,Grand Rapids B,Wabiskaw,Suspended,Suspended,685,685,-113.827381,55.599797,0
102112107625W400,Gas,Marten Hills,Commingled Pool 027,Clearwater,Suspended,Suspended,564,564,-113.827211,55.599655,0
102112107625W402,Gas,Marten Hills,Viking F,Clearwater,Suspended,Suspended,564,564,-113.827211,55.599655,0
103112107625W402,Gas,Marten Hills,Clearwater YYY,Wabamun,Suspended,Suspended,685.5,685.5,-113.827149,55.599527,0
103112107625W403,Gas,Marten Hills,Clearwater YYY,Wabamun,Flowing,Active,685.5,685.5,-113.827149,55.599527,5.38
104112107625W400,Gas,Marten Hills,Grand Rapids B,Grand Rapids,Flowing,Active,872,512.57,-113.833638,55.599407,1.58
100072207625W400,Gas,Marten Hills,Grand Rapids Undefined,Clearwater,Suspended,Suspended,635,635,-113.791466,55.595393,0
100032307625W400,Gas,Marten Hills,Commingled Pool 034,Wabiskaw,Suspended,Suspended,670,670,-113.774563,55.595183,0
100072307625W402,Gas,Marten Hills,Clearwater PPP,Wabiskaw-McMurray,Suspended,Suspended,734,734,-113.767503,55.595463,0
100052407625W400,Gas,Marten Hills,Commingled Pool 034,Mannville,Suspended,Suspended,782,753.09,-113.752017,55.596745,0
100052407625W402,Gas,Marten Hills,Clearwater PPP,Mannville,Flowing,Active,782,753.09,-113.752017,55.596745,2.9
100043007625W400,Gas,Marten Hills,Commingled Pool 027,Mannville,Suspended,Suspended,741,741,-113.883417,55.609961,0
100143007625W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,1622.5,1622.5,-113.876737,55.619148,0
100143007625W402,Gas,Marten Hills,Commingled Pool 022,Unspecified,Suspended,Suspended,1622.5,1622.5,-113.876737,55.619148,0
100013107625W400,Gas,Marten Hills,Clearwater Undefined,Wabamun,Suspended,Suspended,791,791,-113.86481,55.624065,0
100013107625W402,Gas,Marten Hills,Grand Rapids D7D,Wabamun,Suspended,Suspended,791,791,-113.86481,55.624065,0
100050107626W400,Gas,Marten Hills,Commingled Pool 022,McMurray,Suspended,Suspended,733.5,733.5,-113.907795,55.554708,0
100050107626W402,Unspecified,Marten Hills,Unspecified,McMurray,Drilled And Cased,Standing Cased,733.5,733.5,-113.907795,55.554708,0
100070207626W400,Gas,Marten Hills,Commingled Pool 022,Wabiskaw,Suspended,Suspended,760,760,-113.92106,55.553875,0
100070207626W403,Gas,Marten Hills,Clearwater Undefined,Wabiskaw,Suspended,Suspended,760,760,-113.92106,55.553875,0
100070207626W404,Gas,Marten Hills,Commingled Pool 022,Wabiskaw,Pumping,Active,760,760,-113.92106,55.553875,1.52
102070207626W400,Gas,Marten Hills,Commingled Pool 022,Grand Rapids,Suspended,Suspended,608,608,-113.921022,55.553783,0
100050307626W400,Gas,Marten Hills,Commingled Pool 022,Wabiskaw,Suspended,Suspended,785,785,-113.958546,55.554265,0
100050307626W402,Gas,Marten Hills,Commingled Pool 022,Wabiskaw,Suspended,Suspended,785,785,-113.958546,55.554265,0
102050307626W400,Gas,Marten Hills,Commingled Pool 022,Wabiskaw-McMurray,Suspended,Suspended,786,786,-113.958471,55.554421,0
102050307626W402,Commingled,Marten Hills,Commingled Pool 022,Wabiskaw-McMurray,Not Applicable,Active,786,786,-113.958471,55.554421,0
100080407626W400,Gas,Marten Hills,Commingled Pool 022,Wabiskaw,Suspended,Suspended,786.4,786.4,-113.969138,55.554262,0
100080407626W402,Gas,Marten Hills,Commingled Pool 022,Wabiskaw,Suspended,Suspended,786.4,786.4,-113.969138,55.554262,0
100080407626W403,Gas,Marten Hills,Commingled Pool 022,Wabiskaw,Suspended,Suspended,786.4,786.4,-113.969138,55.554262,0
102080407626W400,Gas,Marten Hills,Commingled Pool 022,Wabiskaw-McMurray,Flowing,Active,784,784,-113.969422,55.554361,2.81
102080407626W402,Commingled,Marten Hills,Commingled Pool 022,Wabiskaw-McMurray,Not Applicable,Active,784,784,-113.969422,55.554361,0
100070907626W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,760,760,-113.974641,55.566957,0
100070907626W402,Gas,Marten Hills,Commingled Pool 022,Wabiskaw,Suspended,Suspended,760,760,-113.974641,55.566957,0
102070907626W400,Gas,Marten Hills,Clearwater Undefined,Wabiskaw-McMurray,Suspended,Suspended,760,760,-113.974644,55.566778,0
102070907626W402,Gas,Marten Hills,Clearwater Undefined,Wabiskaw-McMurray,Suspended,Suspended,760,760,-113.974644,55.566778,0
100031007626W400,Gas,Marten Hills,Commingled Pool 022,Wabiskaw,Suspended,Suspended,743,743,-113.954305,55.566455,0
100031007626W402,Gas,Marten Hills,Commingled Pool 022,Wabiskaw,Suspended,Suspended,743,743,-113.954305,55.566455,0
100031107626W400,Gas,Marten Hills,Commingled Pool 001,Wabamun,Suspended,Suspended,743,743,-113.929713,55.565891,0
100031107626W402,Gas,Marten Hills,Commingled Pool 022,Wabamun,Suspended,Suspended,743,743,-113.929713,55.565891,0
100061207626W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,708.4,708.4,-113.902554,55.568138,0
100061207626W402,Gas,Marten Hills,Commingled Pool 022,Unspecified,Flowing,Active,708.4,708.4,-113.902554,55.568138,1.91
102061207626W400,Unspecified,Marten Hills,Unspecified,Wabiskaw-McMurray,Drilled And Cased,Standing Cased,684,684,-113.902432,55.568213,0
100101307626W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Flowing,Active,706.2,706.2,-113.896989,55.586352,8.03
102101307626W400,Gas,Marten Hills,Commingled Pool 022,Clearwater,Suspended,Suspended,673,673,-113.897013,55.586034,0
100051407626W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Flowing,Active,700.4,700.4,-113.935633,55.583026,8.56
102051407626W400,Gas,Marten Hills,Viking C,Joli Fou,Suspended,Suspended,525,525,-113.93388,55.583751,0
100101407626W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,712,712,-113.923586,55.58645,0
100101407626W402,Gas,Marten Hills,Commingled Pool 022,Unspecified,Flowing,Active,712,712,-113.923586,55.58645,3.7
100141407626W400,Gas,Marten Hills,Viking C,Joli Fou,Suspended,Suspended,503,503,-113.930103,55.591448,0
100101507626W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,718.7,718.7,-113.948695,55.586397,0
100101507626W402,Gas,Marten Hills,Commingled Pool 022,Unspecified,Flowing,Active,718.7,718.7,-113.948695,55.586397,4.93
100101607626W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Pumping,Active,742.8,742.8,-113.974619,55.586621,9.16
100072107626W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,726.3,726.3,-113.974618,55.597309,0
100072107626W402,Gas,Marten Hills,Commingled Pool 022,Unspecified,Pumping,Active,726.3,726.3,-113.974618,55.597309,2.22
100072207626W400,Gas,Marten Hills,Commingled Pool 022,Clearwater,Pumping,Active,618,618,-113.948502,55.598969,2.75
100112207626W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Flowing,Active,725.4,725.4,-113.955436,55.60101,9.51
100072307626W400,Gas,Marten Hills,Viking C,Joli Fou,Suspended,Suspended,520,520,-113.921148,55.597196,0
100102307626W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,707.4,707.4,-113.922381,55.600898,0
100102307626W402,Gas,Marten Hills,Commingled Pool 022,Unspecified,Suspended,Suspended,707.4,707.4,-113.922381,55.600898,0
100102407626W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Pumping,Active,722.7,722.7,-113.896989,55.601169,11.07
102102407626W400,Gas,Marten Hills,Commingled Pool 022,Grand Rapids,Suspended,Suspended,586,586,-113.897443,55.601392,0
100122407626W400,Unspecified,Marten Hills,Unspecified,Grand Rapids,Drilled And Cased,Standing Cased,568,568,-113.907595,55.600442,0
100072507626W402,Gas,Marten Hills,Commingled Pool 022,Unspecified,Flowing,Active,742.2,742.2,-113.896987,55.611835,1.76
100102607626W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,791.6,791.6,-113.922898,55.615532,0
102102607626W400,Gas,Marten Hills,Commingled Pool 022,Grand Rapids,Pumping,Active,585,585,-113.922984,55.615608,2.48
104102607626W400,Gas,Marten Hills,Grand Rapids D7D,Clearwater,Suspended,Suspended,681,681,-113.922993,55.615942,0
100142707626W400,Gas,Marten Hills,Commingled Pool 022,Wabiskaw,Suspended,Suspended,779,779,-113.954869,55.619471,0
100082807626W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,750,750,-113.970815,55.611481,0
100082807626W402,Gas,Marten Hills,Commingled Pool 022,Wabiskaw,Suspended,Suspended,750,750,-113.970815,55.611481,0
100063307626W403,Gas,Marten Hills,Grand Rapids CCC,Unspecified,Suspended,Suspended,789.4,789.4,-113.980461,55.626704,0
100033407626W400,Gas,Marten Hills,Grand Rapids CCC,Mannville,Suspended,Suspended,796,796,-113.957089,55.622478,0
102033407626W400,Gas,Marten Hills,Commingled Pool 022,Grand Rapids,Suspended,Suspended,674,674,-113.954844,55.622179,0
100013507626W400,Gas,Marten Hills,Commingled Pool 022,McMurray,Flowing,Active,819,718.84,-113.911574,55.622086,4.27
100033607626W400,Unspecified,Marten Hills,Unspecified,McMurray,Drilled And Cased,Standing Cased,818,717.33,-113.911575,55.622041,0
100070207601W505,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,837,837,-114.035569,55.55408,0
100140707601W500,Gas,Marten Hills,Clearwater Undefined,Wabamun,Suspended,Suspended,797,797,-114.14735,55.574607,0
100140707601W502,Commingled,Marten Hills,Clearwater Undefined,Wabamun,Not Applicable,Active,797,797,-114.14735,55.574607,0
100101007601W502,Gas,Marten Hills,Grand Rapids VV,Mannville,Suspended,Suspended,852,830.22,-114.059333,55.572251,0
100041107601W502,Gas,Marten Hills,Commingled Pool 022,Mannville,Suspended,Suspended,834,834,-114.052641,55.563068,0
100041107601W503,Gas,Marten Hills,Grand Rapids DDD,Mannville,Suspended,Suspended,834,834,-114.052641,55.563068,0
100041107601W504,Gas,Marten Hills,Grand Rapids VV,Mannville,Suspended,Suspended,834,834,-114.052641,55.563068,0
100041807601W500,Gas,Marten Hills,Wabiskaw DD,Wabamun,Suspended,Suspended,784,784,-114.153881,55.580483,0
100041807601W502,Gas,Marten Hills,Clearwater Undefined,Wabamun,Suspended,Suspended,784,784,-114.153881,55.580483,0
100041807601W503,Gas,Marten Hills,Grand Rapids Y6Y,Wabamun,Suspended,Suspended,784,784,-114.153881,55.580483,0
100023207601W500,Gas,Marten Hills,Wabiskaw U,Mannville,Suspended,Suspended,712,712,-114.117718,55.622263,0
100023207601W502,Gas,Marten Hills,Grand Rapids JJ,Mannville,Suspended,Suspended,712,712,-114.117718,55.622263,0
100023207601W503,Gas,Marten Hills,Grand Rapids F6F,Mannville,Suspended,Suspended,712,712,-114.117718,55.622263,0
100023207601W504,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,712,712,-114.117718,55.622263,0
100063607601W504,Unspecified,Marten Hills,Unspecified,McMurray,Drilled And Cased,Standing Cased,766,766,-114.014789,55.628138,0
100150707602W500,Gas,Marten Hills,Clearwater Undefined,Wabiskaw,Suspended,Suspended,734,734,-114.29737,55.574233,0
100140907602W500,Unspecified,Marten Hills,Unspecified,Wabiskaw,Drilled And Cased,Standing Cased,747,747,-114.251931,55.577322,0
100140907602W502,Unspecified,Marten Hills,Unspecified,Wabiskaw,Drilled And Cased,Standing Cased,747,747,-114.251931,55.577322,0
100111007602W500,Gas,Marten Hills,Wabiskaw C,Unspecified,Suspended,Suspended,816.9,816.9,-114.224806,55.572616,0
100111007602W503,Gas,Marten Hills,Commingled Pool 025,Unspecified,Suspended,Suspended,816.9,816.9,-114.224806,55.572616,0
102111007602W500,Gas,Marten Hills,Clearwater G2G,Wabiskaw-McMurray,Flowing,Active,800,800,-114.22526,55.572407,1.5
102111007602W502,Gas,Marten Hills,Commingled Pool 025,Wabiskaw-McMurray,Suspended,Suspended,800,800,-114.22526,55.572407,0
100121207602W500,Unspecified,Marten Hills,Unspecified,McMurray,Drilled And Cased,Standing Cased,812.5,812.5,-114.181849,55.57152,0
100121207602W502,Gas,Marten Hills,Grand Rapids L6L,McMurray,Suspended,Suspended,812.5,812.5,-114.181849,55.57152,0
100121207602W503,Gas,Marten Hills,Grand Rapids K6K,McMurray,Suspended,Suspended,812.5,812.5,-114.181849,55.57152,0
100011307602W500,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,799,799,-114.161942,55.57777,0
100121507602W500,Gas,Marten Hills,Commingled Pool 025,Wabiskaw,Suspended,Suspended,829,829,-114.230133,55.587906,0
100121507602W502,Gas,Marten Hills,Viking Undefined,Wabiskaw,Test Completed,Testing,829,829,-114.230133,55.587906,0
100121507602W503,Unspecified,Marten Hills,Unspecified,Wabiskaw,Drilled And Cased,Standing Cased,829,829,-114.230133,55.587906,0
102121507602W500,Gas,Marten Hills,Commingled Pool 025,Wabiskaw-McMurray,Suspended,Suspended,820,820,-114.230365,55.587759,0
102121507602W502,Gas,Marten Hills,Commingled Pool 025,Wabiskaw-McMurray,Suspended,Suspended,820,820,-114.230365,55.587759,0.07
100141607602W500,Gas,Marten Hills,Wabiskaw C,Wabiskaw,Flowing,Active,814.5,814.5,-114.250845,55.589134,2.61
102141607602W500,Gas,Marten Hills,Grand Rapids I,Clearwater,Suspended,Suspended,675,675,-114.250807,55.589267,0
102141607602W502,Unspecified,Marten Hills,Unspecified,Clearwater,Drilled And Cased,Standing Cased,675,675,-114.250807,55.589267,0
103141607602W500,Gas,Marten Hills,Commingled Pool 025,Wabiskaw-McMurray,Flowing,Active,805.8,805.8,-114.250537,55.589198,7.63
103141607602W502,Commingled,Marten Hills,Commingled Pool 025,Wabiskaw-McMurray,Not Applicable,Active,805.8,805.8,-114.250537,55.589198,0
100061707602W500,Gas,Marten Hills,Grand Rapids L4L,Unspecified,Suspended,Suspended,755.3,755.3,-114.273372,55.582998,0
100061707602W502,Gas,Marten Hills,Commingled Pool 025,Unspecified,Suspended,Suspended,755.3,755.3,-114.273372,55.582998,0
102061707602W500,Gas,Marten Hills,Commingled Pool 025,Wabiskaw-McMurray,Flowing,Active,757.8,757.8,-114.273552,55.582827,0.16
102061707602W502,Commingled,Marten Hills,Commingled Pool 025,Wabiskaw-McMurray,Not Applicable,Active,757.8,757.8,-114.273552,55.582827,0
100061807602W500,Gas,Marten Hills,Commingled Pool 025,Wabiskaw,Suspended,Suspended,745,745,-114.299609,55.584682,0
100061807602W502,Unspecified,Marten Hills,Unspecified,Wabiskaw,Drilled And Cased,Standing Cased,745,745,-114.299609,55.584682,0
100151907602W500,Gas,Marten Hills,Commingled Pool 025,Paleozoic,Flowing,Active,773.5,773.5,-114.297914,55.603698,6.89
100151907602W502,Gas,Marten Hills,Commingled Pool 025,Paleozoic,Suspended,Suspended,773.5,773.5,-114.297914,55.603698,0
100151907602W503,Commingled Gas,Marten Hills,Commingled Pool 025,Paleozoic,Not Applicable,Active,773.5,773.5,-114.297914,55.603698,0
100062007602W500,Gas,Marten Hills,Commingled Pool 025,Wabiskaw-McMurray,Flowing,Active,780,780,-114.277641,55.598611,1.74
100062007602W502,Gas,Marten Hills,Grand Rapids G6G,Wabiskaw-McMurray,Suspended,Suspended,780,780,-114.277641,55.598611,0
100062107602W500,Gas,Marten Hills,Wabiskaw C,Unspecified,Suspended,Suspended,830,830,-114.248678,55.597909,0
100072107602W502,Gas,Marten Hills,Grand Rapids I,Unspecified,Suspended,Suspended,783.3,783.3,-114.246657,55.597863,0
100072107602W503,Gas,Marten Hills,Grand Rapids L4L,Unspecified,Flowing,Active,783.3,783.3,-114.246657,55.597863,0.52
102072107602W500,Gas,Marten Hills,Commingled Pool 025,Clearwater,Flowing,Active,810,810,-114.246273,55.597874,5.88
102072107602W502,Unspecified,Marten Hills,Unspecified,Clearwater,Drilled And Cased,Standing Cased,810,810,-114.246273,55.597874,0
100102107602W500,Gas,Marten Hills,Grand Rapids Undefined,Clearwater,Suspended,Suspended,795,795,-114.241531,55.601912,0
100102107602W502,Gas,Marten Hills,Grand Rapids I,Clearwater,Flowing,Active,795,795,-114.241531,55.601912,0.98
100062207602W502,Gas,Marten Hills,Grand Rapids NNN,McMurray,Suspended,Suspended,820.8,820.8,-114.221987,55.597693,0
102062207602W500,Gas,Marten Hills,Commingled Pool 025,Wabiskaw-McMurray,Suspended,Suspended,820,820,-114.222152,55.597899,0
100053007602W500,Gas,Marten Hills,Commingled Pool 025,Mannville,Suspended,Suspended,812,812,-114.311326,55.611681,0
100063007602W500,Gas,Marten Hills,Wabiskaw GG,Unspecified,Suspended,Suspended,804.1,804.1,-114.300556,55.612167,0
100123107602W500,Gas,Marten Hills,Wabiskaw GG,McMurray,Suspended,Suspended,705,705,-114.306005,55.630966,0
100123107602W502,Gas,Marten Hills,Commingled Pool 025,McMurray,Flowing,Active,705,705,-114.306005,55.630966,6.15
100093207602W500,Unspecified,Marten Hills,Unspecified,Wabiskaw,Drilled And Cased,Standing Cased,780,780,-114.262371,55.62846,0
100043407602W502,Gas,Marten Hills,Clearwater Undefined,Wabiskaw,Suspended,Suspended,743,743,-114.229124,55.623986,0
100101307603W500,Gas,Marten Hills,Wabiskaw M,Wabamun,Flowing,Active,797,797,-114.320841,55.587523,0.13
100151507603W500,Gas,Marten Hills,Wabiskaw M,Mannville,Suspended,Suspended,797,797,-114.373442,55.590552,0
100151507603W502,Gas,Marten Hills,Commingled Pool 025,Mannville,Flowing,Active,797,797,-114.373442,55.590552,0.79
100151507603W503,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,797,797,-114.373442,55.590552,0
100101807603W500,Gas,Marten Hills,Grand Rapids G4G,Unspecified,Suspended,Suspended,798,798,-114.447656,55.586859,0
100101807603W502,Gas,Marten Hills,Viking I,Unspecified,Flowing,Active,798,798,-114.447656,55.586859,7.24
100012107603W502,Gas,Marten Hills,Commingled Pool 025,McMurray,Suspended,Suspended,798.5,798.5,-114.395531,55.595165,0
100112107603W500,Gas,Marten Hills,Wabiskaw M,Paleozoic,Suspended,Suspended,829,829,-114.403659,55.60121,0
100102207603W500,Gas,Marten Hills,Wabiskaw M,Wabamun,Suspended,Suspended,823,816.78,-114.37231,55.602922,0
100102207603W502,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,823,816.78,-114.37231,55.602922,0
100102207603W503,Gas,Marten Hills,Viking Undefined,Wabamun,Suspended,Suspended,823,816.78,-114.37231,55.602922,0
102102207603W500,Gas,Marten Hills,Wabiskaw M,Wabiskaw,Flowing,Active,807,807,-114.375256,55.600843,1.52
100152207603W500,Gas,Marten Hills,Commingled Pool 025,McMurray,Flowing,Active,812,812,-114.371857,55.603115,2.15
100092307603W500,Gas,Marten Hills,Commingled Pool 025,Banff,Suspended,Suspended,806,806,-114.342912,55.601803,0
100112407603W502,Gas,Marten Hills,Commingled Pool 025,Mannville,Suspended,Suspended,834,834,-114.326616,55.601108,0
100042507603W502,Gas,Marten Hills,Commingled Pool 025,Wabamun,Flowing,Active,822,822,-114.333425,55.609098,2.84
100152607603W502,Gas,Marten Hills,Colony Undefined,Mannville,Suspended,Suspended,791,791,-114.349976,55.61828,0
100152607603W503,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,791,791,-114.349976,55.61828,0
100072707603W500,Gas,Marten Hills,Wabiskaw M,Paleozoic,Suspended,Suspended,799,799,-114.372135,55.612076,0
100072707603W502,Gas,Marten Hills,Colony Undefined,Paleozoic,Testing,Testing,799,799,-114.372135,55.612076,0
100072707603W503,Gas,Marten Hills,Second White Specs Undefined,Paleozoic,Suspended,Suspended,799,799,-114.372135,55.612076,0
100132707603W500,Gas,Marten Hills,Wabiskaw M,Mannville,Suspended,Suspended,773,764.38,-114.385363,55.618233,0
100092807603W500,Gas,Marten Hills,Wabiskaw M,Mannville,Suspended,Suspended,775,775,-114.395646,55.614875,0
100092807603W502,Gas,Marten Hills,Viking Undefined,Mannville,Suspended,Suspended,775,775,-114.395646,55.614875,0
100063007603W502,Gas,Marten Hills,Commingled Pool 036,Mannville,Suspended,Suspended,749,749,-114.455173,55.612556,0
102063007603W500,Gas,Marten Hills,Viking L,Mannville,Suspended,Suspended,708.7,708.7,-114.454871,55.612548,0
100133107603W500,Gas,Marten Hills,Wabiskaw HH,Mannville,Suspended,Suspended,673.4,673.4,-114.461736,55.632679,0
100013307603W500,Gas,Marten Hills,Wabiskaw M,Banff,Suspended,Suspended,740,740,-114.395778,55.624197,0
100013307603W502,Gas,Marten Hills,Grand Rapids C6C,Banff,Suspended,Suspended,740,740,-114.395778,55.624197,0
100053507603W503,Gas,Marten Hills,Clearwater C2C,McMurray,Pumping,Active,726,726,-114.357738,55.626972,1.74
100063607603W500,Unspecified,Marten Hills,Unspecified,Wabiskaw-McMurray,Drilled And Cased,Standing Cased,721,721,-114.329557,55.62706,0
100121307604W500,Disposal - Water,Marten Hills,Wabiskaw Z,Mannville,Suspended,Suspended,832.5,832.5,-114.490886,55.58592,0
100121307604W502,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,832.5,832.5,-114.490886,55.58592,0
100071407604W500,Gas,Marten Hills,Grand Rapids S4S,Wabiskaw,Suspended,Suspended,849,849,-114.500887,55.582032,0
100092307604W503,Unspecified,Marten Hills,Unspecified,Banff,Drilled And Cased,Standing Cased,806,806,-114.498807,55.601438,0
100092307604W504,Gas,Marten Hills,Grand Rapids S4S,Banff,Suspended,Suspended,806,806,-114.498807,55.601438,0
102092307604W500,Unspecified,Marten Hills,Unspecified,Clearwater,Drilled And Cased,Standing Cased,777,777,-114.498207,55.602076,0
102092307604W502,Gas,Marten Hills,Commingled Pool 036,Clearwater,Suspended,Suspended,777,777,-114.498207,55.602076,0
100122407604W500,Gas,Marten Hills,Wabiskaw Z,Mannville,Suspended,Suspended,777,777,-114.49134,55.601244,0
100122407604W502,Gas,Marten Hills,Commingled Pool 036,Mannville,Suspended,Suspended,777,777,-114.49134,55.601244,0
100042507604W500,Gas,Marten Hills,Wabiskaw Z,Clearwater,Suspended,Suspended,726,726,-114.486763,55.609408,0
100012607604W502,Gas,Marten Hills,Commingled Pool 036,Wabiskaw,Suspended,Suspended,752,752,-114.498923,55.609444,0
100012607604W503,Unspecified,Marten Hills,Unspecified,Wabiskaw,Drilled And Cased,Standing Cased,752,752,-114.498923,55.609444,0
100140607724W403,Gas,Marten Hills,Commingled Pool 019,Mannville,Test Completed,Testing,762.5,762.5,-113.722595,55.646542,0
100140607724W404,Gas,Marten Hills,Commingled Pool 019,Mannville,Suspended,Suspended,762.5,762.5,-113.722595,55.646542,0
100070707724W400,Unspecified,Marten Hills,Unspecified,Mannville,Drilled And Cased,Standing Cased,766,750.47,-113.711858,55.65607,0
100070707724W402,Gas,Marten Hills,Commingled Pool 019,Mannville,Suspended,Suspended,766,750.47,-113.711858,55.65607,0
100141807724W400,Gas,Marten Hills,Grand Rapids Q5Q,Wabamun,Suspended,Suspended,810,714.11,-113.722848,55.672756,0
100141807724W402,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,810,714.11,-113.722848,55.672756,0
100141807724W403,Gas,Marten Hills,Grand Rapids Q5Q,Wabamun,Suspended,Suspended,810,714.11,-113.722848,55.672756,0
100141807724W404,Gas,Marten Hills,Commingled Pool 019,Wabamun,Suspended,Suspended,810,714.11,-113.722848,55.672756,0
100141807724W405,Gas,Marten Hills,Grand Rapids F5F,Wabamun,Suspended,Suspended,810,714.11,-113.722848,55.672756,0
100060607725W400,Gas,Marten Hills,Grand Rapids K5K,Mannville,Suspended,Suspended,757,757,-113.875708,55.641455,0
100050707725W403,Disposal - Water,Marten Hills,Grand Rapids Undefined,Mannville,Not Applicable,Active,1121,649.28,-113.87626,55.654712,0
100101007725W400,Gas,Marten Hills,Commingled Pool 001,Mannville,Flowing,Active,737,737,-113.790524,55.659754,8.2
100051107725W400,Gas,Marten Hills,Commingled Pool 001,Mannville,Flowing,Active,755,755,-113.777199,55.655216,0.84
1W0121607725W400,Gas,Marten Hills,Commingled Pool 002,Unspecified,Suspended,Suspended,685,648.63,-113.835279,55.67065,0
100031907725W400,Gas,Marten Hills,Grand Rapids N5N,Wabiskaw,Suspended,Suspended,647,626.73,-113.879236,55.680014,0
100121907725W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Flowing,Active,620,620,-113.884035,55.688784,0.93
100121907725W402,Gas,Marten Hills,Grand Rapids N5N,Wabiskaw,Suspended,Suspended,620,620,-113.884035,55.688784,0
100072007725W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,646,646,-113.846271,55.683782,0
100072007725W402,Gas,Marten Hills,Commingled Pool 002,Wabiskaw,Suspended,Suspended,646,646,-113.846271,55.683782,0
100012407725W400,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,831,671.74,-113.741609,55.684164,0
100012407725W402,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,831,671.74,-113.741609,55.684164,0
100012407725W403,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,831,671.74,-113.741609,55.684164,0
100092607725W400,Bitumen,Marten Hills,Wabiskaw-Mcmurray,McMurray,Suspended,Suspended,692,586.93,-113.765241,55.706111,2.57
100112607725W400,Bitumen,Marten Hills,Wabiskaw-Mcmurray,McMurray,Suspended,Suspended,629,590.1,-113.777767,55.705577,0
100112707725W400,Gas,Marten Hills,Commingled Pool 001,Wabamun,Suspended,Suspended,626,626,-113.798707,55.702689,0
100052807725W400,Bitumen,Marten Hills,Wabiskaw-Mcmurray,McMurray,Suspended,Suspended,594,594,-113.831838,55.697724,0
